Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000266,-0.192781,-9.775657,0.243788,-0.0028542519,0.0080293659,0.0034672456
0.00115,-0.20479,-9.773263,0.238985,-0.0028542519,0.0069651408,0.0045314707
0.0022,-0.199987,-9.78284,0.255797,-0.0028542519,0.0069651408,0.0034672456
0.003249,-0.197585,-9.794812,0.263003,-0.0028542519,0.0090935911,0.0024030204
0.004269,-0.199987,-9.809178,0.255797,-0.0017900267,0.0090935911,0.0034672456
0.005316,-0.192781,-9.813966,0.241387,-0.0017900267,0.0069651408,0.0034672456
0.006365,-0.192781,-9.809178,0.234181,-0.0017900267,0.0069651408,0.0013387952
0.007415,-0.199987,-9.801995,0.238985,-0.0017900267,0.0069651408,0.0013387952
0.008433,-0.192781,-9.794812,0.24619,-0.0028542519,0.0069651408,0.0013387952
0.009482,-0.19038,-9.794812,0.248592,-0.0028542519,0.0069651408,0.0024030204
0.010531,-0.199987,-9.794812,0.253395,-0.0028542519,0.0069651408,0.0024030204
0.011581,-0.202388,-9.797206,0.253395,-0.0028542519,0.0059009156,0.0024030204
0.012598,-0.192781,-9.801995,0.24619,-0.0028542519,0.0059009156,0.0013387952
0.01365,-0.197585,-9.801995,0.236583,-0.0028542519,0.0069651408,0.0024030204
0.014698,-0.195183,-9.792417,0.229378,-0.0017900267,0.0069651408,0.0034672456
0.015747,-0.185576,-9.794812,0.238985,-0.0007258016,0.0059009156,0.0045314707
0.016797,-0.185576,-9.794812,0.238985,-0.0017900267,0.0059009156,0.0045314707
0.017814,-0.192781,-9.794812,0.236583,-0.0028542519,0.0069651408,0.0045314707
0.018864,-0.192781,-9.792417,0.248592,-0.0017900267,0.0059009156,0.0034672456
0.019913,-0.192781,-9.790023,0.255797,-0.003918477,0.0059009156,0.0034672456
0.020962,-0.192781,-9.790023,0.24619,-0.003918477,0.0069651408,0.0034672456
0.02198,-0.192781,-9.785234,0.243788,-0.0028542519,0.0069651408,0.0034672456
0.02303,-0.197585,-9.78284,0.238985,-0.0028542519,0.0069651408,0.0024030204
0.024079,-0.199987,-9.794812,0.238985,-0.0028542519,0.0080293659,0.0024030204
0.025129,-0.192781,-9.804389,0.238985,-0.0017900267,0.0080293659,0.0024030204
0.026149,-0.183174,-9.801995,0.229378,-0.0028542519,0.0080293659,0.0034672456
0.027196,-0.180773,-9.792417,0.226976,-0.0017900267,0.0080293659,0.0024030204
0.028245,-0.185576,-9.792417,0.238985,-0.0028542519,0.0069651408,0.0034672456
0.029295,-0.199987,-9.792417,0.238985,-0.0017900267,0.0069651408,0.0045314707
0.030344,-0.209594,-9.790023,0.229378,-0.0007258016,0.0069651408,0.0045314707
0.031362,-0.20479,-9.785234,0.243788,-0.0017900267,0.0090935911,0.0045314707
0.032411,-0.202388,-9.780446,0.263003,-0.0028542519,0.0090935911,0.0055956959
0.033461,-0.197585,-9.790023,0.263003,-0.0028542519,0.0090935911,0.0055956959
0.03451,-0.197585,-9.804389,0.260601,-0.0017900267,0.0090935911,0.0034672456
0.035527,-0.197585,-9.794812,0.258199,-0.0028542519,0.0080293659,0.0013387952
0.036577,-0.192781,-9.78284,0.255797,-0.0028542519,0.0069651408,0.0024030204
0.037626,-0.187978,-9.787629,0.248592,-0.0017900267,0.0069651408,0.0045314707
0.038676,-0.192781,-9.794812,0.236583,-0.0028542519,0.0059009156,0.0045314707
0.039694,-0.195183,-9.785234,0.224574,-0.003918477,0.0069651408,0.0024030204
0.040743,-0.192781,-9.778051,0.234181,-0.003918477,0.0080293659,0.0024030204
0.041793,-0.19038,-9.78284,0.248592,-0.003918477,0.0090935911,0.0034672456
0.042842,-0.185576,-9.790023,0.255797,-0.0028542519,0.0090935911,0.0034672456
0.043894,-0.187978,-9.797206,0.24619,-0.0028542519,0.0080293659,0.0034672456
0.044909,-0.202388,-9.790023,0.238985,-0.0017900267,0.0080293659,0.0045314707
0.045958,-0.197585,-9.797206,0.24619,-0.0017900267,0.0080293659,0.0055956959
0.047008,-0.192781,-9.794812,0.248592,-0.0017900267,0.0090935911,0.0055956959
0.048058,-0.192781,-9.787629,0.255797,-0.0017900267,0.0090935911,0.0055956959
0.049075,-0.19038,-9.792417,0.255797,-0.0017900267,0.0090935911,0.0055956959
0.050125,-0.192781,-9.7996,0.241387,-0.0017900267,0.0080293659,0.0045314707
0.051174,-0.195183,-9.794812,0.238985,-0.0028542519,0.0080293659,0.0055956959
